"","title","author","subject","abstract","date"
"34","fluid ejections in nature","elio j. challita, pankaj rohilla, m. saad bhamla","quantitative methods","from microscopic fungi to colossal whales, fluidic ejections are a universal and intricate phenomenon in biology, serving vital functions such as animal excretion, venom spraying, prey hunting, spore dispersal, and plant guttation. this review delves into the complex fluid physics of ejections across various scales, exploring both muscle-powered active systems and passive mechanisms driven by gravity or osmosis. we introduce a framework using dimensionless numbers to delineate transitions from dripping to jetting and elucidate the governing forces. highlighting the understudied area of complex fluid ejections, this work not only rationalizes the biophysics involved but also uncovers potential engineering applications in soft robotics, additive manufacturing, and drug delivery. by bridging biomechanics, the physics of living systems, and fluid dynamics, this review offers valuable insights into the diverse world of fluid ejections and paves the way for future bioinspired research across the spectrum of life.",2024-03-04
"35","quantum computing: vision and challenges","sukhpal singh gill, oktay cetinkaya, stefano marrone, elias f. combarro, daniel claudino, david haunschild, leon schlote, huaming wu, carlo ottaviani, xiaoyuan liu, sree pragna machupalli, kamalpreet kaur, priyansh arora, ji liu, salman shamshad, ahmed farouk, houbing herbert song, steve uhlig, kotagiri ramamohanarao","distributed, parallel, and cluster computing","the recent development of quantum computing, which makes use of entanglement, superposition, and other quantum fundamental concepts, has the ability to provide substantial processing advantages over traditional computing. these quantum features help solve many hard problems that cannot be solved with traditional computing methods. these problems are in areas like modeling quantum mechanics, logistics, making chemical-based advances, designing drugs, statistical science, sustainable energy, banking, reliable communication, and quantum chemical engineering. the last few years have witnessed remarkable advancements in quantum software and algorithm creation as well as quantum hardware research, which have significantly advanced the prospect of the realization of quantum computers. it would be helpful to have comprehensive literature research on this area to grasp the current status and find outstanding problems that require considerable attention from the research community working in the quantum computing industry. to better understand quantum computing, this paper examines the foundations and vision based on current research in this area. we discuss cutting-edge developments in quantum computer hardware advancement, and subsequent advances in quantum cryptography, quantum software, and high-scalability quantum computers. many potential challenges and exciting new trends for quantum technology research and development are highlighted in this paper for a wider debate.",2024-03-04
"36","implementation of an ai-based mrd evaluation and prediction model for multiple myeloma","jianfeng chen, jize xiong, yixu wang, qi xin, hong zhou","quantitative methods","with the application of hematopoietic stem cell transplantation and new drugs, the progression-free survival rate and overall survival rate of multiple myeloma have been greatly improved, but it is still considered as a kind of disease that cannot be completely cured. many patients have disease recurrence after complete remission, which is rooted in the presence of minimal residual disease mrd in patients. studies have shown that positive mrd is an independent adverse prognostic factor affecting survival, so mrd detection is an important indicator to judge the prognosis of patients and guide clinical treatment. at present, multipa-rameter flow cytometry (mfc), polymerase chain reaction (pcr), positron emission tomography (positron emission) several techniques, such as pet/computer tomography (ct), have been used for mrd detection of multiple myeloma.however, there is still no cure for the disease. ""ifm2013-04"" four clinical studies confirmed for the first time that proteasome inhibitors (pis) and immunomodulatory drugs, the synergism and importance of the combination of imids in the treatment of mm, the large phase 3 clinical study swog so777 compared the combination of bortezomib plus lenalidomide and dexamethasone. the efficacy of vrd and d established the status of vrd first-line treatment of mm, and due to the good efficacy of cd38 monoclonal antibody in large clinical studies, combination therapy with vrd has been recommended as the first-line treatment of mm. however, to explore the clinical value and problems of applying artificial intelligence bone marrow cell recognition system morphogo in the detection of multiple myeloma minimal residual disease (mrd)",2024-02-29
"37","bayesian model averaging for partial ordering continual reassessment methods","luka kovacevic, thomas jaki, helen barnett, pavel mozgunov","methodology","phase i clinical trials are essential to bringing novel therapies from chemical development to widespread use. traditional approaches to dose-finding in phase i trials, such as the '3+3' method and the continual reassessment method (crm), provide a principled approach for escalating across dose levels. however, these methods lack the ability to incorporate uncertainty regarding the dose-toxicity ordering as found in combination drug trials. under this setting, dose-levels vary across multiple drugs simultaneously, leading to multiple possible dose-toxicity orderings. the partial ordering crm (pocrm) extends to these settings by allowing for multiple dose-toxicity orderings. in this work, it is shown that the pocrm is vulnerable to 'estimation incoherency' whereby toxicity estimates shift in an illogical way, threatening patient safety and undermining clinician trust in dose-finding models. to this end, the bayesian model averaged pocrm (bma-pocrm) is proposed. bma-pocrm uses bayesian model averaging to take into account all possible orderings simultaneously, reducing the frequency of estimation incoherencies. the effectiveness of bma-pocrm in drug combination settings is demonstrated through a specific instance of estimate incoherency of pocrm and simulation studies. the results highlight the improved safety, accuracy and reduced occurrence of estimate incoherency in trials applying the bma-pocrm relative to the pocrm model.",2024-03-01
"38","molecular unfolding formulation with enhanced quantum annealing approach","arit kumar bishwas, arish pitchai, anuraj som","quantum physics","molecular docking is a crucial phase in drug discovery, involving the precise determination of the optimal spatial arrangement between two molecules when they bind. the such analysis, the 3d structure of molecules is a fundamental consideration, involving the manipulation of molecular representations based on their degrees of freedom, including rigid roto-translation and fragment rotations along rotatable bonds, to determine the preferred spatial arrangement when molecules bind to each other. in this paper, quantum annealing based solution to solve molecular unfolding (mu) problem, a specific phase within molecular docking, is explored and compared with a state-of-the-art classical algorithm named ""geodock"". molecular unfolding focuses on expanding a molecule to an unfolded state to simplify manipulation within the target cavity and optimize its configuration, typically by maximizing molecular area or internal atom distances. molecular unfolding problem aims to find the torsional configuration that increases the inter-atomic distance within a molecule, which also increases the molecular area. quantum annealing approach first encodes the problem into a higher-order unconstrained binary optimization (hubo) equation which is pruned to an arbitrary percentage to improve the time efficiency and to be able to solve the equation using any quantum annealer. the resultant hubo is then converted to a quadratic unconstrained binary optimization equation (qubo), which is easily embedded on a d-wave annealing quantum processor.",2024-03-01
"39","eckart streaming with nonlinear high-order harmonics: an example at gigahertz","shiyu li, weiwei cui, thierry baasch, bin wang, zhixiong gong","fluid dynamics","acoustic streaming shows great potential in applications such as bubble dynamics, cell aggregation, and nano-sized particle isolation in the biomedical and drug industries. as the acoustic shock distance decreases with the increase of incident frequency, the nonlinear propagation effect will play a role in acoustic streaming, e.g., eckart (bulk) streaming at a few gigahertz (ghz). however, the theory of source terms of bulk streaming is still missing at this stage when high-order acoustic harmonics play a role. in this paper, we derive the source term including the contribution of higher-order harmonics. the streaming-induced hydrodynamic flow is assumed to be incompressible and no shock wave occurs during the nonlinear acoustic propagation as restricted by the traditional goldberg number \gamma < 1 or \gamma \approx 1 which indicates the importance of nonlinearity relative to dissipation. the derived force terms allow evaluating bulk streaming with high-order harmonics at ghz and provide an exact expression compared to the existing empirical formulas. numerical results show that the contribution of higher-order harmonics increases the streaming flow velocity by more than 20%. we show that the expression introduced by nyborg should be avoided in numerical computations as it includes part of the acoustic radiation force that does not lead to acoustic streaming.",2024-03-01
"40","quantum readiness in healthcare and public health: building a quantum literate workforce","jonathan b vangeest, kieran j fogarty, william g hervey, robert a hanson, suresh nair, timothy a akers","physics and society","quantum technologies, including quantum computing, cryptography, and sensing, among others, are set to revolutionize sectors ranging from materials science to drug discovery. despite their significant potential, the implications for public health have been largely overlooked, highlighting a critical gap in recognition and preparation. this oversight necessitates immediate action, as public health remains largely unaware of quantum technologies as a tool for advancement. the application of quantum principles to epidemiology and health informatics, termed quantum health epidemiology and quantum health informatics, has the potential to radically transform disease surveillance, prediction, modeling, and analysis of health data. however, there is a notable lack of quantum expertise within the public health workforce and educational pipelines. this gap underscores the urgent need for the development of quantum literacy among public health practitioners, leaders, and students to leverage emerging opportunities while addressing risks and ethical considerations. innovative teaching methods, such as interactive simulations, games, visual models, and other tailored platforms, offer viable solutions for bridging knowledge gaps without the need for advanced physics or mathematics. however, the opportunity to adapt is fleeting as the quantum era in healthcare looms near. it is imperative that public health urgently focuses on updating its educational approaches, workforce strategies, data governance, and organizational culture to proactively meet the challenges of quantum disruption thereby becoming quantum ready.",2024-02-29
"41","rinalmo: general-purpose rna language models can generalize well on structure prediction tasks","rafael josip penić, tin vlašić, roland g. huber, yue wan, mile šikić","biomolecules","ribonucleic acid (rna) plays a variety of crucial roles in fundamental biological processes. recently, rna has become an interesting drug target, emphasizing the need to improve our understanding of its structures and functions. over the years, sequencing technologies have produced an enormous amount of unlabeled rna data, which hides important knowledge and potential. motivated by the successes of protein language models, we introduce ribonucleic acid language model (rinalmo) to help unveil the hidden code of rna. rinalmo is the largest rna language model to date with $650$ million parameters pre-trained on $36$ million non-coding rna sequences from several available databases. rinalmo is able to extract hidden knowledge and capture the underlying structure information implicitly embedded within the rna sequences. rinalmo achieves state-of-the-art results on several downstream tasks. notably, we show that its generalization capabilities can overcome the inability of other deep learning methods for secondary structure prediction to generalize on unseen rna families. the code has been made publicly available on this https url.",2024-02-29
"42","towards interpreting multi-objective feature associations","nisha pillai, ganga gireesan, michael j. rothrock jr., bindu nanduri, zhiqian chen, mahalingam ramkumar","machine learning","understanding how multiple features are associated and contribute to a specific objective is as important as understanding how each feature contributes to a particular outcome. interpretability of a single feature in a prediction may be handled in multiple ways; however, in a multi-objective prediction, it is difficult to obtain interpretability of a combination of feature values. to address this issue, we propose an objective specific feature interaction design using multi-labels to find the optimal combination of features in agricultural settings. one of the novel aspects of this design is the identification of a method that integrates feature explanations with global sensitivity analysis in order to ensure combinatorial optimization in multi-objective settings. we have demonstrated in our preliminary experiments that an approximate combination of feature values can be found to achieve the desired outcome using two agricultural datasets: one with pre-harvest poultry farm practices for multi-drug resistance presence, and one with post-harvest poultry farm practices for food-borne pathogens. in our combinatorial optimization approach, all three pathogens are taken into consideration simultaneously to account for the interaction between conditions that favor different types of pathogen growth. these results indicate that explanation-based approaches are capable of identifying combinations of features that reduce pathogen presence in fewer iterations than a baseline.",2024-02-28
"43","mathematical models of drug delivery via a contact lens during wear","daniel m. anderson, rayanne a. luke","biological physics","in this work we develop and investigate mathematical and computational models that describe drug delivery from a contact lens during wear. our models are designed to predict the dynamics of drug release from the contact lens and subsequent transport into the adjacent pre-lens tear film and post-lens tear film as well as into the ocular tissue (e.g. cornea), into the eyelid, and out of these regions. these processes are modeled by one dimensional diffusion out of the lens coupled to compartment-type models for drug concentrations in the various accompanying regions. in addition to numerical solutions that are compared with experimental data on drug release in an in vitro eye model, we also identify a large diffusion limit model for which analytical solutions can be written down for all quantities of interest, such as cumulative release of the drug from the contact lens. we use our models to make assessments about possible mechanisms and drug transport pathways through the pre-lens and post-lens tear films and provide interpretation of experimental observations. we discuss successes and limitations of our models as well as their potential to guide further research to help understand the dynamics of ophthalmic drug delivery via drug-eluting contact lenses.",2024-02-07
"44","noise-induced survival resonances during fractional killing of cell populations","francesco puccioni, johannes pausch, paul piho, philipp thomas","populations and evolution","fractional killing in response to drugs is a hallmark of non-genetic cellular heterogeneity. yet how individual lineages evade drug treatment, as observed in bacteria and cancer cells, is not quantitatively understood. we analyse a stochastic population model with age-dependent division and death rates and characterise the emergence of fractional killing as a stochastic phenomenon under constant and periodic drug environments. in constant environments, increasing cell cycle noise induces a phase transition from complete to fractional killing, while increasing death noise can induce the reverse transition. in periodic drug environments, we discover survival resonance phenomena that give rise to peaks in the survival probabilities at division or death times that are multiples of the environment duration not seen in unstructured populations.",2024-02-29
"45","binding-adaptive diffusion models for structure-based drug design","zhilin huang, ling yang, zaixi zhang, xiangxin zhou, yu bao, xiawu zheng, yuwei yang, yu wang, wenming yang","biomolecules","structure-based drug design (sbdd) aims to generate 3d ligand molecules that bind to specific protein targets. existing 3d deep generative models including diffusion models have shown great promise for sbdd. however, it is complex to capture the essential protein-ligand interactions exactly in 3d space for molecular generation. to address this problem, we propose a novel framework, namely binding-adaptive diffusion models (binddm). in binddm, we adaptively extract subcomplex, the essential part of binding sites responsible for protein-ligand interactions. then the selected protein-ligand subcomplex is processed with se(3)-equivariant neural networks, and transmitted back to each atom of the complex for augmenting the target-aware 3d molecule diffusion generation with binding interaction information. we iterate this hierarchical complex-subcomplex process with cross-hierarchy interaction node for adequately fusing global binding context between the complex and its corresponding subcomplex. empirical studies on the crossdocked2020 dataset show binddm can generate molecules with more realistic 3d structures and higher binding affinities towards the protein targets, with up to -5.92 avg. vina score, while maintaining proper molecular properties. our code is available at this https url",2024-01-15
"46","semantic information in mc: chemotaxis beyond shannon","lukas brand, yan wang, maurizio magarini, robert schober, sebastian lotter","information theory","the recently emerging molecular communication (mc) paradigm intents to leverage communication engineering tools for the design of synthetic chemical communication systems. these systems are envisioned to operate on nanoscale and in biological environments, such as the human body, and catalyze the emergence of revolutionary applications in the context of early disease monitoring and drug targeting. however, while a plethora of theoretical (and more recently also more and more practical) mc system designs have been proposed over the past years, some fundamental questions remain open, hindering the breakthrough of mc in real-world applications. one of these questions is: what is a useful measure of information in the context of mc-based applications? while most existing works in mc build upon the concept of syntactic information as introduced by shannon, in this paper, we explore the framework of semantic information as introduced by kolchinsky and wolpert for the information theoretical analysis of a natural mc system, namely bacterial chemotaxis. exploiting the computational modeling tool of agent-based modeling (abm), we are able to demonstrate that the semantic information framework can provide a useful information theoretical framework for quantifying the information exchange of chemotactic bacteria with their environment. in particular, we show that the measured semantic information provides a useful measure of the ability of the bacteria to adapt to and survive in a changing environment. encouraged by our results, we envision that the semantic information framework can open new avenues for developing theoretical and practical mc system designs and in this way help to unleash the full potential of mc for complex adaptive systems-based nanoscale applications.",2024-02-28
"47","hierarchical multi-relational graph representation learning for large-scale prediction of drug-drug interactions","mengying jiang, guizhong liu, yuanchao su, weiqiang jin, biao zhao","machine learning","most existing methods for predicting drug-drug interactions (ddi) predominantly concentrate on capturing the explicit relationships among drugs, overlooking the valuable implicit correlations present between drug pairs (dps), which leads to weak predictions. to address this issue, this paper introduces a hierarchical multi-relational graph representation learning (hmgrl) approach. within the framework of hmgrl, we leverage a wealth of drug-related heterogeneous data sources to construct heterogeneous graphs, where nodes represent drugs and edges denote clear and various associations. the relational graph convolutional network (rgcn) is employed to capture diverse explicit relationships between drugs from these heterogeneous graphs. additionally, a multi-view differentiable spectral clustering (mvdsc) module is developed to capture multiple valuable implicit correlations between dps. within the mvdsc, we utilize multiple dp features to construct graphs, where nodes represent dps and edges denote different implicit correlations. subsequently, multiple dp representations are generated through graph cutting, each emphasizing distinct implicit correlations. the graph-cutting strategy enables our hmgrl to identify strongly connected communities of graphs, thereby reducing the fusion of irrelevant features. by combining every representation view of a dp, we create high-level dp representations for predicting ddis. two genuine datasets spanning three distinct tasks are adopted to gauge the efficacy of our hmgrl. experimental outcomes unequivocally indicate that hmgrl surpasses several leading-edge methods in performance.",2024-02-28
"48","biot5+: towards generalized biological understanding with iupac integration and multi-task tuning","qizhi pei, lijun wu, kaiyuan gao, xiaozhuan liang, yin fang, jinhua zhu, shufang xie, tao qin, rui yan","quantitative methods","recent research trends in computational biology have increasingly focused on integrating text and bio-entity modeling, especially in the context of molecules and proteins. however, previous efforts like biot5 faced challenges in generalizing across diverse tasks and lacked a nuanced understanding of molecular structures, particularly in their textual representations (e.g., iupac). this paper introduces biot5+, an extension of the biot5 framework, tailored to enhance biological research and drug discovery. biot5+ incorporates several novel features: integration of iupac names for molecular understanding, inclusion of extensive bio-text and molecule data from sources like biorxiv and pubchem, the multi-task instruction tuning for generality across tasks, and a novel numerical tokenization technique for improved processing of numerical data. these enhancements allow biot5+ to bridge the gap between molecular representations and their textual descriptions, providing a more holistic understanding of biological entities, and largely improving the grounded reasoning of bio-text and bio-sequences. the model is pre-trained and fine-tuned with a large number of experiments, including \emph{3 types of problems (classification, regression, generation), 15 kinds of tasks, and 21 total benchmark datasets}, demonstrating the remarkable performance and state-of-the-art results in most cases. biot5+ stands out for its ability to capture intricate relationships in biological data, thereby contributing significantly to bioinformatics and computational biology. our code is available at \url{this https url}.",2024-02-27
"49","exploring gene regulatory interaction networks and predicting therapeutic molecules for hypopharyngeal cancer and egfr-mutated lung adenocarcinoma","abanti bhattacharjya, md manowarul islam, md ashraf uddin, md. alamin talukder, akm azad, sunil aryal, bikash kumar paul, wahia tasnim, muhammad ali abdulllah almoyad, mohammad ali moni","genomics","with the advent of information technology, the bioinformatics research field is becoming increasingly attractive to researchers and academicians. the recent development of various bioinformatics toolkits has facilitated the rapid processing and analysis of vast quantities of biological data for human perception. most studies focus on locating two connected diseases and making some observations to construct diverse gene regulatory interaction networks, a forerunner to general drug design for curing illness. for instance, hypopharyngeal cancer is a disease that is associated with egfr-mutated lung adenocarcinoma. in this study, we select egfr-mutated lung adenocarcinoma and hypopharyngeal cancer by finding the lung metastases in hypopharyngeal cancer. to conduct this study, we collect mircorarray datasets from geo (gene expression omnibus), an online database controlled by ncbi. differentially expressed genes, common genes, and hub genes between the selected two diseases are detected for the succeeding move. our research findings have suggested common therapeutic molecules for the selected diseases based on 10 hub genes with the highest interactions according to the degree topology method and the maximum clique centrality (mcc). our suggested therapeutic molecules will be fruitful for patients with those two diseases simultaneously.",2024-02-27
"50","a scalable multi-layered blockchain architecture for enhanced ehr sharing and drug supply chain management","reza javan, mehrzad mohammadi, mohammad beheshti-atashgah, mohammad reza aref","cryptography and security","in recent years, the healthcare sector's shift to online platforms has spotlighted challenges concerning data security, privacy, and scalability. blockchain technology, known for its decentralized, secure, and immutable nature, emerges as a viable solution for these pressing issues. this article presents an innovative electronic health records (ehr) sharing and drug supply chain management framework tailored to address scalability, security, data integrity, traceability, and secure data sharing. the framework introduces five layers and transactions, prioritizing patient-centric healthcare by granting patients comprehensive access control over their health information. this access facilitates smoother processes, such as insurance claims, while maintaining robust security measures. notably, our implementation of parallelism significantly bolsters scalability and transaction throughput while minimizing network traffic. performance evaluations conducted through the caliper benchmark indicate a slight increase in processor consumption during specific transactions, mitigated effectively by parallelization. ram requirements remain largely stable. additionally, our approach notably reduces network traffic while tripling transaction throughput. the framework ensures patient privacy, data integrity, access control, and interoperability, aligning with traditional healthcare systems. moreover, it provides transparency and real-time drug supply monitoring, empowering decision-makers with actionable insights. as healthcare evolves, our framework sets a crucial precedent for innovative, scalable, and secure systems. future enhancements could focus on scalability, real-world deployment, standardized data formats, reinforced security protocols, privacy preservation, and iot integration to comply with regulations and meet evolving industry needs.",2024-02-27
"51","method of tracking and analysis of fluorescent-labeled cells using automatic thresholding and labeling","mizuki fukasawa (1), tomokazu fukuda (1), takuya akashi (1) ((1) iwate university)","computer vision and pattern recognition","high-throughput screening using cell images is an efficient method for screening new candidates for pharmaceutical drugs. to complete the screening process, it is essential to have an efficient process for analyzing cell images. this paper presents a new method for efficiently tracking cells and quantitatively detecting the signal ratio between cytoplasm and nuclei. existing methods include those that use image processing techniques and those that utilize artificial intelligence (ai). however, these methods do not consider the correspondence of cells between images, or require a significant amount of new learning data to train ai. therefore, our method uses automatic thresholding and labeling algorithms to compare the position of each cell between images, and continuously measure and analyze the signal ratio of cells. this paper describes the algorithm of our method. using the method, we experimented to investigate the effect of the number of opening and closing operations during the binarization process on the tracking of the cells. through the experiment, we determined the appropriate number of opening and closing processes.",2024-02-27
"52","myelin figures from microbial glycolipid biosurfactant amphiphiles","debdyuti roy (uc davis), vincent chaleix (unilim), atul n. parikh (uc davis), niki baccile (lcmcp-smiles)","soft condensed matter","myelin figures (mfs) -- cylindrical lyotropic liquid crystalline structures consisting of concentric arrays of bilayers and aqueous media -- arise from the hydration of the bulk lamellar phase of many common amphiphiles. prior efforts have concentrated on the formation, structure, and dynamics of myelin produced by phosphatidylcholine (pc)-based amphiphiles. here, we study the myelinization of glycolipid microbial amphiphiles, commonly addressed as biosurfactants, produced through the process of fermentation. the hydration characteristics (and phase diagrams) of these biological amphiphiles are atypical (and thus their capacity to form myelin) because unlike typical amphiphiles, their molecular structure is characterized by two hydrophilic groups (sugar, carboxylic acid) on both ends with a hydrophobic moiety in the middle. we tested three different glycolipid molecules: c18:1 sophorolipids and single-glucose c18:1 and c18:0 glucolipids, all in their nonacetylated acidic form. neither sophorolipids (too soluble) nor c18:0 glucolipids (too insoluble) displayed myelin growth at room temperature (rt, 25 c). the glucolipid c18:1 (g-c18:1), on the other hand, showed dense myelin growth at rt below ph 7.0. examining their growth rates, we find that they display a linear l $\alpha$ t (l, myelin length; t, time) growth rate, suggesting ballistic growth, distinctly different from the l $\alpha$ t^(1/2) dependence, characterizing diffusive growth such as what occurs in more conventional phospholipids. these results offer some insight into lipidic mesophases arising from a previously unexplored class of amphiphiles with potential applications in the field of drug delivery.",2024-02-27
"53","dual-space optimization: improved molecule sequence design by latent prompt transformer","deqian kong, yuhao huang, jianwen xie, edouardo honig, ming xu, shuanghong xue, pei lin, sanping zhou, sheng zhong, nanning zheng, ying nian wu","machine learning","designing molecules with desirable properties, such as drug-likeliness and high binding affinities towards protein targets, is a challenging problem. in this paper, we propose the dual-space optimization (dso) method that integrates latent space sampling and data space selection to solve this problem. dso iteratively updates a latent space generative model and a synthetic dataset in an optimization process that gradually shifts the generative model and the synthetic data towards regions of desired property values. our generative model takes the form of a latent prompt transformer (lpt) where the latent vector serves as the prompt of a causal transformer. our extensive experiments demonstrate effectiveness of the proposed method, which sets new performance benchmarks across single-objective, multi-objective and constrained molecule design tasks.",2024-02-27
"54","a bayesian committee machine potential for organic nitrogen compounds","hyun gyu park, soohaeng yoo willow, d. changmo yang, chang woo myung","materials science","large-scale computer simulations of chemical atoms are used in a wide range of applications, including batteries, drugs, and more. however, there is a problem with efficiency as it takes a long time due to the large amount of calculation. to solve these problems, machine learning interatomic potential (ml-iap) technology is attracting attention as an alternative. ml-iap not only has high accuracy by faithfully expressing the density functional theory (dft), but also has the advantage of low computational cost. however, there is a problem that the potential energy changes significantly depending on the environment of each atom, and expansion to a wide range of compounds within a single model is still difficult to build in the case of a kernel-based model. to solve this problem, we would like to develop a universal ml-iap using this active bayesian committee machine (bcm) potential methodology for carbon-nitrogen-hydrogen (cnh) with various compositions. ml models are trained and generated through first-principles calculations and molecular dynamics simulations for molecules with only cnh. using long amine structures to test an ml model trained only with short chains, the results show excellent consistency with dft calculations. consequently, machine learning-based models for organic molecules not only demonstrate the ability to accurately describe various physical properties but also hold promise for investigating a broad spectrum of diverse materials systems.",2024-02-27
"55","graph diffusion policy optimization","yijing liu, chao du, tianyu pang, chongxuan li, wei chen, min lin","machine learning","recent research has made significant progress in optimizing diffusion models for specific downstream objectives, which is an important pursuit in fields such as graph generation for drug design. however, directly applying these models to graph diffusion presents challenges, resulting in suboptimal performance. this paper introduces graph diffusion policy optimization (gdpo), a novel approach to optimize graph diffusion models for arbitrary (e.g., non-differentiable) objectives using reinforcement learning. gdpo is based on an eager policy gradient tailored for graph diffusion models, developed through meticulous analysis and promising improved performance. experimental results show that gdpo achieves state-of-the-art performance in various graph generation tasks with complex and diverse objectives. code is available at this https url.",2024-02-26
"56","field-based molecule generation","alexandru dumitrescu, dani korpela, markus heinonen, yogesh verma, valerii iakovlev, vikas garg, harri lähdesmäki","machine learning","this work introduces fmg, a field-based model for drug-like molecule generation. we show how the flexibility of this method provides crucial advantages over the prevalent, point-cloud based methods, and achieves competitive molecular stability generation. we tackle optical isomerism (enantiomers), a previously omitted molecular property that is crucial for drug safety and effectiveness, and thus account for all molecular geometry aspects. we demonstrate how previous methods are invariant to a group of transformations that includes enantiomer pairs, leading them invariant to the molecular r and s configurations, while our field-based generative model captures this property.",2024-02-24
"57","formulation, colloidal characterization, and in vitro biological effect of bmp-2 loaded plga nanoparticles for bone regeneration","teresa del castillo-santaella, inmaculada ortega-oller, miguel padial-molina, francisco ovalle, pablo galindo-moreno, ana belen jodar-reyes, jose manuel peula-garcia","biological physics","nanoparticles (nps) based on the polymer poly (lactide-co-glycolide) acid (plga) have been widely studied in developing delivery systems for drugs and therapeutic biomolecules, due to the biocompatible and biodegradable properties of the plga. in this work, a synthesis method for bone morphogenetic protein (bmp-2)-loaded plga nps was developed and optimized, in order to carry out and control the release of bmp-2, based on the double-emulsion (water/oil/water,w/o/w) solvent evaporation technique. the polymeric surfactant pluronic f68 was used in the synthesis procedure, as it is known to have an effect on the reduction of the size of the nps, the enhancement of their stability, and the protection of the encapsulated biomolecule. spherical solid polymeric nps were synthesized, showing a reproducible multimodal size distribution, with diameters between 100 and 500 nm. this size range appears to allow the protein to act on the cell surface and at the cytoplasm level. the effect of carrying bmp-2 co-adsorbed with bovine serum albumin on the np surface was analyzed. the colloidal properties of these systems (morphology by sem, hydrodynamic size, electrophoretic mobility, temporal stability, protein encapsulation, and short-term release profile) were studied. the effect of both bmp2-loaded nps on the proliferation, migration, and osteogenic differentiation of mesenchymal stromal cells from human alveolar bone (absc) was also analyzed in vitro.",2024-01-19
"58","potential outcome simulation for efficient head-to-head comparison of adaptive dose-finding designs","michael sweeting, daniel slade, dan jackson, kristian brock","computation","dose-finding trials are a key component of the drug development process and rely on a statistical design to help inform dosing decisions. triallists wishing to choose a design require knowledge of operating characteristics of competing methods. this is often assessed using a large-scale simulation study with multiple designs and configurations investigated, which can be time-consuming and therefore limits the scope of the simulation. we introduce a new approach to the design of simulation studies of dose-finding trials. the approach simulates all potential outcomes that individuals could experience at each dose level in the trial. datasets are simulated in advance and then the same datasets are applied to each of the competing methods to enable a more efficient head-to-head comparison. in two case-studies we show sizeable reductions in monte carlo error for comparing a performance metric between two competing designs. efficiency gains depend on the similarity of the designs. comparing two phase i/ii design variants, with high correlation of recommending the same optimal biologic dose, we show that the new approach requires a simulation study that is approximately 30 times smaller than the conventional approach. furthermore, advance-simulated trial datasets can be reused to assess the performance of designs across multiple configurations. we recommend researchers consider this more efficient simulation approach in their dose-finding studies and we have updated the r package escalation to help facilitate implementation.",2024-02-23
"59","quantum theory and application of contextual optimal transport","nicola mariella, albert akhriev, francesco tacchino, christa zoufal, juan carlos gonzalez-espitia, benedek harsanyi, eugene koskin, ivano tavernelli, stefan woerner, marianna rapsomaniki, sergiy zhuk, jannis born","machine learning","optimal transport (ot) has fueled machine learning (ml) applications across many domains. in cases where paired data measurements ($\mu$, $\nu$) are coupled to a context variable $p_i$ , one may aspire to learn a global transportation map that can be parameterized through a potentially unseen con-text. existing approaches utilize neural ot and largely rely on brenier's theorem. here, we propose a first-of-its-kind quantum computing formulation for amortized optimization of contextualized transportation plans. we exploit a direct link between doubly stochastic matrices and unitary operators thus finding a natural connection between ot and quantum computation. we verify our method on synthetic and real data, by predicting variations in cell type distributions parameterized through drug dosage as context. our comparisons to several baselines reveal that our method can capture dose-induced variations in cell distributions, even to some extent when dosages are extrapolated and sometimes with performance similar to the best classical models. in summary, this is a first step toward learning to predict contextualized transportation plans through quantum.",2024-02-22
"60","causal imputation for counterfactual scms: bridging graphs and latent factor models","alvaro ribot, chandler squires, caroline uhler","machine learning","we consider the task of causal imputation, where we aim to predict the outcomes of some set of actions across a wide range of possible contexts. as a running example, we consider predicting how different drugs affect cells from different cell types. we study the index-only setting, where the actions and contexts are categorical variables with a finite number of possible values. even in this simple setting, a practical challenge arises, since often only a small subset of possible action-context pairs have been studied. thus, models must extrapolate to novel action-context pairs, which can be framed as a form of matrix completion with rows indexed by actions, columns indexed by contexts, and matrix entries corresponding to outcomes. we introduce a novel scm-based model class, where the outcome is expressed as a counterfactual, actions are expressed as interventions on an instrumental variable, and contexts are defined based on the initial state of the system. we show that, under a linearity assumption, this setup induces a latent factor model over the matrix of outcomes, with an additional fixed effect term. to perform causal prediction based on this model class, we introduce simple extension to the synthetic interventions estimator (agarwal et al., 2020). we evaluate several matrix completion approaches on the prism drug repurposing dataset, showing that our method outperforms all other considered matrix completion approaches.",2024-02-22
