"","title","author","subject","abstract","meta"
"39","Eckart streaming with nonlinear high-order harmonics: an example at gigahertz","Shiyu Li, Weiwei Cui, Thierry Baasch, Bin Wang, Zhixiong Gong","Fluid Dynamics (physics.flu-dyn)","Acoustic streaming shows great potential in applications such as bubble dynamics, cell aggregation, and nano-sized particle isolation in the biomedical and drug industries. As the acoustic shock distance decreases with the increase of incident frequency, the nonlinear propagation effect will play a role in acoustic streaming, e.g., Eckart (bulk) streaming at a few gigahertz (GHz). However, the theory of source terms of bulk streaming is still missing at this stage when high-order acoustic harmonics play a role. In this paper, we derive the source term including the contribution of higher-order harmonics. The streaming-induced hydrodynamic flow is assumed to be incompressible and no shock wave occurs during the nonlinear acoustic propagation as restricted by the traditional Goldberg number \Gamma < 1 or \Gamma \approx 1 which indicates the importance of nonlinearity relative to dissipation. The derived force terms allow evaluating bulk streaming with high-order harmonics at GHz and provide an exact expression compared to the existing empirical formulas. Numerical results show that the contribution of higher-order harmonics increases the streaming flow velocity by more than 20%. We show that the expression introduced by Nyborg should be avoided in numerical computations as it includes part of the acoustic radiation force that does not lead to acoustic streaming.","Fri, 1 Mar 2024 08:25:18 UTC (624 KB)"
"40","Quantum Readiness in Healthcare and Public Health: Building a Quantum Literate Workforce","Jonathan B VanGeest, Kieran J Fogarty, William G Hervey, Robert A Hanson, Suresh Nair, Timothy A Akers","Physics and Society (physics.soc-ph)","Quantum technologies, including quantum computing, cryptography, and sensing, among others, are set to revolutionize sectors ranging from materials science to drug discovery. Despite their significant potential, the implications for public health have been largely overlooked, highlighting a critical gap in recognition and preparation. This oversight necessitates immediate action, as public health remains largely unaware of quantum technologies as a tool for advancement. The application of quantum principles to epidemiology and health informatics, termed quantum health epidemiology and quantum health informatics, has the potential to radically transform disease surveillance, prediction, modeling, and analysis of health data. However, there is a notable lack of quantum expertise within the public health workforce and educational pipelines. This gap underscores the urgent need for the development of quantum literacy among public health practitioners, leaders, and students to leverage emerging opportunities while addressing risks and ethical considerations. Innovative teaching methods, such as interactive simulations, games, visual models, and other tailored platforms, offer viable solutions for bridging knowledge gaps without the need for advanced physics or mathematics. However, the opportunity to adapt is fleeting as the quantum era in healthcare looms near. It is imperative that public health urgently focuses on updating its educational approaches, workforce strategies, data governance, and organizational culture to proactively meet the challenges of quantum disruption thereby becoming quantum ready.","Thu, 29 Feb 2024 20:55:56 UTC (625 KB)"
"41","RiNALMo: General-Purpose RNA Language Models Can Generalize Well on Structure Prediction Tasks","Rafael Josip Penić, Tin Vlašić, Roland G. Huber, Yue Wan, Mile Šikić","Biomolecules (q-bio.BM)","Ribonucleic acid (RNA) plays a variety of crucial roles in fundamental biological processes. Recently, RNA has become an interesting drug target, emphasizing the need to improve our understanding of its structures and functions. Over the years, sequencing technologies have produced an enormous amount of unlabeled RNA data, which hides important knowledge and potential. Motivated by the successes of protein language models, we introduce RiboNucleic Acid Language Model (RiNALMo) to help unveil the hidden code of RNA. RiNALMo is the largest RNA language model to date with $650$ million parameters pre-trained on $36$ million non-coding RNA sequences from several available databases. RiNALMo is able to extract hidden knowledge and capture the underlying structure information implicitly embedded within the RNA sequences. RiNALMo achieves state-of-the-art results on several downstream tasks. Notably, we show that its generalization capabilities can overcome the inability of other deep learning methods for secondary structure prediction to generalize on unseen RNA families. The code has been made publicly available on this https URL.","Thu, 29 Feb 2024 14:50:58 UTC (14,577 KB)"
"42","Towards Interpreting Multi-Objective Feature Associations","Nisha Pillai, Ganga Gireesan, Michael J. Rothrock Jr., Bindu Nanduri, Zhiqian Chen, Mahalingam Ramkumar","Machine Learning (cs.LG)","Understanding how multiple features are associated and contribute to a specific objective is as important as understanding how each feature contributes to a particular outcome. Interpretability of a single feature in a prediction may be handled in multiple ways; however, in a multi-objective prediction, it is difficult to obtain interpretability of a combination of feature values. To address this issue, we propose an objective specific feature interaction design using multi-labels to find the optimal combination of features in agricultural settings. One of the novel aspects of this design is the identification of a method that integrates feature explanations with global sensitivity analysis in order to ensure combinatorial optimization in multi-objective settings. We have demonstrated in our preliminary experiments that an approximate combination of feature values can be found to achieve the desired outcome using two agricultural datasets: one with pre-harvest poultry farm practices for multi-drug resistance presence, and one with post-harvest poultry farm practices for food-borne pathogens. In our combinatorial optimization approach, all three pathogens are taken into consideration simultaneously to account for the interaction between conditions that favor different types of pathogen growth. These results indicate that explanation-based approaches are capable of identifying combinations of features that reduce pathogen presence in fewer iterations than a baseline.","Wed, 28 Feb 2024 02:24:04 UTC (5,216 KB)"
"43","Mathematical models of drug delivery via a contact lens during wear","Daniel M. Anderson, Rayanne A. Luke","Biological Physics (physics.bio-ph)","In this work we develop and investigate mathematical and computational models that describe drug delivery from a contact lens during wear. Our models are designed to predict the dynamics of drug release from the contact lens and subsequent transport into the adjacent pre-lens tear film and post-lens tear film as well as into the ocular tissue (e.g. cornea), into the eyelid, and out of these regions. These processes are modeled by one dimensional diffusion out of the lens coupled to compartment-type models for drug concentrations in the various accompanying regions. In addition to numerical solutions that are compared with experimental data on drug release in an in vitro eye model, we also identify a large diffusion limit model for which analytical solutions can be written down for all quantities of interest, such as cumulative release of the drug from the contact lens. We use our models to make assessments about possible mechanisms and drug transport pathways through the pre-lens and post-lens tear films and provide interpretation of experimental observations. We discuss successes and limitations of our models as well as their potential to guide further research to help understand the dynamics of ophthalmic drug delivery via drug-eluting contact lenses.","Wed, 7 Feb 2024 15:14:16 UTC (10,794 KB)"
"44","Noise-induced survival resonances during fractional killing of cell populations","Francesco Puccioni, Johannes Pausch, Paul Piho, Philipp Thomas","Populations and Evolution (q-bio.PE)","Fractional killing in response to drugs is a hallmark of non-genetic cellular heterogeneity. Yet how individual lineages evade drug treatment, as observed in bacteria and cancer cells, is not quantitatively understood. We analyse a stochastic population model with age-dependent division and death rates and characterise the emergence of fractional killing as a stochastic phenomenon under constant and periodic drug environments. In constant environments, increasing cell cycle noise induces a phase transition from complete to fractional killing, while increasing death noise can induce the reverse transition. In periodic drug environments, we discover survival resonance phenomena that give rise to peaks in the survival probabilities at division or death times that are multiples of the environment duration not seen in unstructured populations.","Thu, 29 Feb 2024 11:19:12 UTC (850 KB)"
"45","Binding-Adaptive Diffusion Models for Structure-Based Drug Design","Zhilin Huang, Ling Yang, Zaixi Zhang, Xiangxin Zhou, Yu Bao, Xiawu Zheng, Yuwei Yang, Yu Wang, Wenming Yang","Biomolecules (q-bio.BM)","Structure-based drug design (SBDD) aims to generate 3D ligand molecules that bind to specific protein targets. Existing 3D deep generative models including diffusion models have shown great promise for SBDD. However, it is complex to capture the essential protein-ligand interactions exactly in 3D space for molecular generation. To address this problem, we propose a novel framework, namely Binding-Adaptive Diffusion Models (BindDM). In BindDM, we adaptively extract subcomplex, the essential part of binding sites responsible for protein-ligand interactions. Then the selected protein-ligand subcomplex is processed with SE(3)-equivariant neural networks, and transmitted back to each atom of the complex for augmenting the target-aware 3D molecule diffusion generation with binding interaction information. We iterate this hierarchical complex-subcomplex process with cross-hierarchy interaction node for adequately fusing global binding context between the complex and its corresponding subcomplex. Empirical studies on the CrossDocked2020 dataset show BindDM can generate molecules with more realistic 3D structures and higher binding affinities towards the protein targets, with up to -5.92 Avg. Vina Score, while maintaining proper molecular properties. Our code is available at this https URL","Mon, 15 Jan 2024 00:34:00 UTC (3,172 KB)"
"46","Semantic Information in MC: Chemotaxis Beyond Shannon","Lukas Brand, Yan Wang, Maurizio Magarini, Robert Schober, Sebastian Lotter","Information Theory (cs.IT)","The recently emerging molecular communication (MC) paradigm intents to leverage communication engineering tools for the design of synthetic chemical communication systems. These systems are envisioned to operate on nanoscale and in biological environments, such as the human body, and catalyze the emergence of revolutionary applications in the context of early disease monitoring and drug targeting. However, while a plethora of theoretical (and more recently also more and more practical) MC system designs have been proposed over the past years, some fundamental questions remain open, hindering the breakthrough of MC in real-world applications. One of these questions is: What is a useful measure of information in the context of MC-based applications? While most existing works in MC build upon the concept of syntactic information as introduced by Shannon, in this paper, we explore the framework of semantic information as introduced by Kolchinsky and Wolpert for the information theoretical analysis of a natural MC system, namely bacterial chemotaxis. Exploiting the computational modeling tool of agent-based modeling (ABM), we are able to demonstrate that the semantic information framework can provide a useful information theoretical framework for quantifying the information exchange of chemotactic bacteria with their environment. In particular, we show that the measured semantic information provides a useful measure of the ability of the bacteria to adapt to and survive in a changing environment. Encouraged by our results, we envision that the semantic information framework can open new avenues for developing theoretical and practical MC system designs and in this way help to unleash the full potential of MC for complex adaptive systems-based nanoscale applications.","Wed, 28 Feb 2024 16:41:52 UTC (587 KB)"
"47","Hierarchical Multi-Relational Graph Representation Learning for Large-Scale Prediction of Drug-Drug Interactions","Mengying Jiang, Guizhong Liu, Yuanchao Su, Weiqiang Jin, Biao Zhao","Machine Learning (cs.LG)","Most existing methods for predicting drug-drug interactions (DDI) predominantly concentrate on capturing the explicit relationships among drugs, overlooking the valuable implicit correlations present between drug pairs (DPs), which leads to weak predictions. To address this issue, this paper introduces a hierarchical multi-relational graph representation learning (HMGRL) approach. Within the framework of HMGRL, we leverage a wealth of drug-related heterogeneous data sources to construct heterogeneous graphs, where nodes represent drugs and edges denote clear and various associations. The relational graph convolutional network (RGCN) is employed to capture diverse explicit relationships between drugs from these heterogeneous graphs. Additionally, a multi-view differentiable spectral clustering (MVDSC) module is developed to capture multiple valuable implicit correlations between DPs. Within the MVDSC, we utilize multiple DP features to construct graphs, where nodes represent DPs and edges denote different implicit correlations. Subsequently, multiple DP representations are generated through graph cutting, each emphasizing distinct implicit correlations. The graph-cutting strategy enables our HMGRL to identify strongly connected communities of graphs, thereby reducing the fusion of irrelevant features. By combining every representation view of a DP, we create high-level DP representations for predicting DDIs. Two genuine datasets spanning three distinct tasks are adopted to gauge the efficacy of our HMGRL. Experimental outcomes unequivocally indicate that HMGRL surpasses several leading-edge methods in performance.","Wed, 28 Feb 2024 07:36:16 UTC (12,960 KB)"
"48","BioT5+: Towards Generalized Biological Understanding with IUPAC Integration and Multi-task Tuning","Qizhi Pei, Lijun Wu, Kaiyuan Gao, Xiaozhuan Liang, Yin Fang, Jinhua Zhu, Shufang Xie, Tao Qin, Rui Yan","Quantitative Methods (q-bio.QM)","Recent research trends in computational biology have increasingly focused on integrating text and bio-entity modeling, especially in the context of molecules and proteins. However, previous efforts like BioT5 faced challenges in generalizing across diverse tasks and lacked a nuanced understanding of molecular structures, particularly in their textual representations (e.g., IUPAC). This paper introduces BioT5+, an extension of the BioT5 framework, tailored to enhance biological research and drug discovery. BioT5+ incorporates several novel features: integration of IUPAC names for molecular understanding, inclusion of extensive bio-text and molecule data from sources like bioRxiv and PubChem, the multi-task instruction tuning for generality across tasks, and a novel numerical tokenization technique for improved processing of numerical data. These enhancements allow BioT5+ to bridge the gap between molecular representations and their textual descriptions, providing a more holistic understanding of biological entities, and largely improving the grounded reasoning of bio-text and bio-sequences. The model is pre-trained and fine-tuned with a large number of experiments, including \emph{3 types of problems (classification, regression, generation), 15 kinds of tasks, and 21 total benchmark datasets}, demonstrating the remarkable performance and state-of-the-art results in most cases. BioT5+ stands out for its ability to capture intricate relationships in biological data, thereby contributing significantly to bioinformatics and computational biology. Our code is available at \url{this https URL}.","Tue, 27 Feb 2024 12:43:09 UTC (2,246 KB)"
"49","Exploring Gene Regulatory Interaction Networks and predicting therapeutic molecules for Hypopharyngeal Cancer and EGFR-mutated lung adenocarcinoma","Abanti Bhattacharjya, Md Manowarul Islam, Md Ashraf Uddin, Md. Alamin Talukder, AKM Azad, Sunil Aryal, Bikash Kumar Paul, Wahia Tasnim, Muhammad Ali Abdulllah Almoyad, Mohammad Ali Moni","Genomics (q-bio.GN)","With the advent of Information technology, the Bioinformatics research field is becoming increasingly attractive to researchers and academicians. The recent development of various Bioinformatics toolkits has facilitated the rapid processing and analysis of vast quantities of biological data for human perception. Most studies focus on locating two connected diseases and making some observations to construct diverse gene regulatory interaction networks, a forerunner to general drug design for curing illness. For instance, Hypopharyngeal cancer is a disease that is associated with EGFR-mutated lung adenocarcinoma. In this study, we select EGFR-mutated lung adenocarcinoma and Hypopharyngeal cancer by finding the Lung metastases in hypopharyngeal cancer. To conduct this study, we collect Mircorarray datasets from GEO (Gene Expression Omnibus), an online database controlled by NCBI. Differentially expressed genes, common genes, and hub genes between the selected two diseases are detected for the succeeding move. Our research findings have suggested common therapeutic molecules for the selected diseases based on 10 hub genes with the highest interactions according to the degree topology method and the maximum clique centrality (MCC). Our suggested therapeutic molecules will be fruitful for patients with those two diseases simultaneously.","Tue, 27 Feb 2024 11:29:36 UTC (42,535 KB)"
"50","A Scalable Multi-Layered Blockchain Architecture for Enhanced EHR Sharing and Drug Supply Chain Management","Reza Javan, Mehrzad Mohammadi, Mohammad Beheshti-Atashgah, Mohammad Reza Aref","Cryptography and Security (cs.CR)","In recent years, the healthcare sector's shift to online platforms has spotlighted challenges concerning data security, privacy, and scalability. Blockchain technology, known for its decentralized, secure, and immutable nature, emerges as a viable solution for these pressing issues. This article presents an innovative Electronic Health Records (EHR) sharing and drug supply chain management framework tailored to address scalability, security, data integrity, traceability, and secure data sharing. The framework introduces five layers and transactions, prioritizing patient-centric healthcare by granting patients comprehensive access control over their health information. This access facilitates smoother processes, such as insurance claims, while maintaining robust security measures. Notably, our implementation of parallelism significantly bolsters scalability and transaction throughput while minimizing network traffic. Performance evaluations conducted through the Caliper benchmark indicate a slight increase in processor consumption during specific transactions, mitigated effectively by parallelization. RAM requirements remain largely stable. Additionally, our approach notably reduces network traffic while tripling transaction throughput. The framework ensures patient privacy, data integrity, access control, and interoperability, aligning with traditional healthcare systems. Moreover, it provides transparency and real-time drug supply monitoring, empowering decision-makers with actionable insights. As healthcare evolves, our framework sets a crucial precedent for innovative, scalable, and secure systems. Future enhancements could focus on scalability, real-world deployment, standardized data formats, reinforced security protocols, privacy preservation, and IoT integration to comply with regulations and meet evolving industry needs.","Tue, 27 Feb 2024 09:20:16 UTC (1,110 KB)"
"51","Method of Tracking and Analysis of Fluorescent-Labeled Cells Using Automatic Thresholding and Labeling","Mizuki Fukasawa (1), Tomokazu Fukuda (1), Takuya Akashi (1) ((1) Iwate University)","Computer Vision and Pattern Recognition (cs.CV)","High-throughput screening using cell images is an efficient method for screening new candidates for pharmaceutical drugs. To complete the screening process, it is essential to have an efficient process for analyzing cell images. This paper presents a new method for efficiently tracking cells and quantitatively detecting the signal ratio between cytoplasm and nuclei. Existing methods include those that use image processing techniques and those that utilize artificial intelligence (AI). However, these methods do not consider the correspondence of cells between images, or require a significant amount of new learning data to train AI. Therefore, our method uses automatic thresholding and labeling algorithms to compare the position of each cell between images, and continuously measure and analyze the signal ratio of cells. This paper describes the algorithm of our method. Using the method, we experimented to investigate the effect of the number of opening and closing operations during the binarization process on the tracking of the cells. Through the experiment, we determined the appropriate number of opening and closing processes.","Tue, 27 Feb 2024 08:33:03 UTC (220 KB)"
"52","Myelin figures from microbial glycolipid biosurfactant amphiphiles","Debdyuti Roy (UC Davis), Vincent Chaleix (UNILIM), Atul N. Parikh (UC Davis), Niki Baccile (LCMCP-SMiLES)","Soft Condensed Matter (cond-mat.soft)","Myelin figures (MFs) -- cylindrical lyotropic liquid crystalline structures consisting of concentric arrays of bilayers and aqueous media -- arise from the hydration of the bulk lamellar phase of many common amphiphiles. Prior efforts have concentrated on the formation, structure, and dynamics of myelin produced by phosphatidylcholine (PC)-based amphiphiles. Here, we study the myelinization of glycolipid microbial amphiphiles, commonly addressed as biosurfactants, produced through the process of fermentation. The hydration characteristics (and phase diagrams) of these biological amphiphiles are atypical (and thus their capacity to form myelin) because unlike typical amphiphiles, their molecular structure is characterized by two hydrophilic groups (sugar, carboxylic acid) on both ends with a hydrophobic moiety in the middle. We tested three different glycolipid molecules: C18:1 sophorolipids and single-glucose C18:1 and C18:0 glucolipids, all in their nonacetylated acidic form. Neither sophorolipids (too soluble) nor C18:0 glucolipids (too insoluble) displayed myelin growth at room temperature (RT, 25 C). The glucolipid C18:1 (G-C18:1), on the other hand, showed dense myelin growth at RT below pH 7.0. Examining their growth rates, we find that they display a linear L $\alpha$ t (L, myelin length; t, time) growth rate, suggesting ballistic growth, distinctly different from the L $\alpha$ t^(1/2) dependence, characterizing diffusive growth such as what occurs in more conventional phospholipids. These results offer some insight into lipidic mesophases arising from a previously unexplored class of amphiphiles with potential applications in the field of drug delivery.","Tue, 27 Feb 2024 07:50:28 UTC (1,735 KB)"
"53","Dual-Space Optimization: Improved Molecule Sequence Design by Latent Prompt Transformer","Deqian Kong, Yuhao Huang, Jianwen Xie, Edouardo Honig, Ming Xu, Shuanghong Xue, Pei Lin, Sanping Zhou, Sheng Zhong, Nanning Zheng, Ying Nian Wu","Machine Learning (cs.LG)","Designing molecules with desirable properties, such as drug-likeliness and high binding affinities towards protein targets, is a challenging problem. In this paper, we propose the Dual-Space Optimization (DSO) method that integrates latent space sampling and data space selection to solve this problem. DSO iteratively updates a latent space generative model and a synthetic dataset in an optimization process that gradually shifts the generative model and the synthetic data towards regions of desired property values. Our generative model takes the form of a Latent Prompt Transformer (LPT) where the latent vector serves as the prompt of a causal transformer. Our extensive experiments demonstrate effectiveness of the proposed method, which sets new performance benchmarks across single-objective, multi-objective and constrained molecule design tasks.","Tue, 27 Feb 2024 03:33:23 UTC (3,797 KB)"
"54","A Bayesian Committee Machine Potential for Organic Nitrogen Compounds","Hyun Gyu Park, Soohaeng Yoo Willow, D. ChangMo Yang, Chang Woo Myung","Materials Science (cond-mat.mtrl-sci)","Large-scale computer simulations of chemical atoms are used in a wide range of applications, including batteries, drugs, and more. However, there is a problem with efficiency as it takes a long time due to the large amount of calculation. To solve these problems, machine learning interatomic potential (ML-IAP) technology is attracting attention as an alternative. ML-IAP not only has high accuracy by faithfully expressing the density functional theory (DFT), but also has the advantage of low computational cost. However, there is a problem that the potential energy changes significantly depending on the environment of each atom, and expansion to a wide range of compounds within a single model is still difficult to build in the case of a kernel-based model. To solve this problem, we would like to develop a universal ML-IAP using this active Bayesian Committee Machine (BCM) potential methodology for carbon-nitrogen-hydrogen (CNH) with various compositions. ML models are trained and generated through first-principles calculations and molecular dynamics simulations for molecules with only CNH. Using long amine structures to test an ML model trained only with short chains, the results show excellent consistency with DFT calculations. Consequently, machine learning-based models for organic molecules not only demonstrate the ability to accurately describe various physical properties but also hold promise for investigating a broad spectrum of diverse materials systems.","Tue, 27 Feb 2024 01:55:41 UTC (993 KB)"
"55","Graph Diffusion Policy Optimization","Yijing Liu, Chao Du, Tianyu Pang, Chongxuan Li, Wei Chen, Min Lin","Machine Learning (cs.LG)","Recent research has made significant progress in optimizing diffusion models for specific downstream objectives, which is an important pursuit in fields such as graph generation for drug design. However, directly applying these models to graph diffusion presents challenges, resulting in suboptimal performance. This paper introduces graph diffusion policy optimization (GDPO), a novel approach to optimize graph diffusion models for arbitrary (e.g., non-differentiable) objectives using reinforcement learning. GDPO is based on an eager policy gradient tailored for graph diffusion models, developed through meticulous analysis and promising improved performance. Experimental results show that GDPO achieves state-of-the-art performance in various graph generation tasks with complex and diverse objectives. Code is available at this https URL.","Mon, 26 Feb 2024 04:58:42 UTC (825 KB)"
"56","Field-based Molecule Generation","Alexandru Dumitrescu, Dani Korpela, Markus Heinonen, Yogesh Verma, Valerii Iakovlev, Vikas Garg, Harri Lähdesmäki","Machine Learning (cs.LG)","This work introduces FMG, a field-based model for drug-like molecule generation. We show how the flexibility of this method provides crucial advantages over the prevalent, point-cloud based methods, and achieves competitive molecular stability generation. We tackle optical isomerism (enantiomers), a previously omitted molecular property that is crucial for drug safety and effectiveness, and thus account for all molecular geometry aspects. We demonstrate how previous methods are invariant to a group of transformations that includes enantiomer pairs, leading them invariant to the molecular R and S configurations, while our field-based generative model captures this property.","Sat, 24 Feb 2024 17:13:58 UTC (3,690 KB)"
"57","Formulation, Colloidal Characterization, and In Vitro Biological Effect of BMP-2 Loaded PLGA Nanoparticles for Bone Regeneration","Teresa del Castillo-Santaella, Inmaculada Ortega-Oller, Miguel Padial-Molina, Francisco OValle, Pablo Galindo-Moreno, Ana Belen Jodar-Reyes, Jose Manuel Peula-Garcia","Biological Physics (physics.bio-ph)","Nanoparticles (NPs) based on the polymer poly (lactide-co-glycolide) acid (PLGA) have been widely studied in developing delivery systems for drugs and therapeutic biomolecules, due to the biocompatible and biodegradable properties of the PLGA. In this work, a synthesis method for bone morphogenetic protein (BMP-2)-loaded PLGA NPs was developed and optimized, in order to carry out and control the release of BMP-2, based on the double-emulsion (water/oil/water,W/O/W) solvent evaporation technique. The polymeric surfactant Pluronic F68 was used in the synthesis procedure, as it is known to have an effect on the reduction of the size of the NPs, the enhancement of their stability, and the protection of the encapsulated biomolecule. Spherical solid polymeric NPs were synthesized, showing a reproducible multimodal size distribution, with diameters between 100 and 500 nm. This size range appears to allow the protein to act on the cell surface and at the cytoplasm level. The effect of carrying BMP-2 co-adsorbed with bovine serum albumin on the NP surface was analyzed. The colloidal properties of these systems (morphology by SEM, hydrodynamic size, electrophoretic mobility, temporal stability, protein encapsulation, and short-term release profile) were studied. The effect of both BMP2-loaded NPs on the proliferation, migration, and osteogenic differentiation of mesenchymal stromal cells from human alveolar bone (ABSC) was also analyzed in vitro.","Fri, 19 Jan 2024 08:00:43 UTC (680 KB)"
"58","Potential outcome simulation for efficient head-to-head comparison of adaptive dose-finding designs","Michael Sweeting, Daniel Slade, Dan Jackson, Kristian Brock","Computation (stat.CO)","Dose-finding trials are a key component of the drug development process and rely on a statistical design to help inform dosing decisions. Triallists wishing to choose a design require knowledge of operating characteristics of competing methods. This is often assessed using a large-scale simulation study with multiple designs and configurations investigated, which can be time-consuming and therefore limits the scope of the simulation. We introduce a new approach to the design of simulation studies of dose-finding trials. The approach simulates all potential outcomes that individuals could experience at each dose level in the trial. Datasets are simulated in advance and then the same datasets are applied to each of the competing methods to enable a more efficient head-to-head comparison. In two case-studies we show sizeable reductions in Monte Carlo error for comparing a performance metric between two competing designs. Efficiency gains depend on the similarity of the designs. Comparing two Phase I/II design variants, with high correlation of recommending the same optimal biologic dose, we show that the new approach requires a simulation study that is approximately 30 times smaller than the conventional approach. Furthermore, advance-simulated trial datasets can be reused to assess the performance of designs across multiple configurations. We recommend researchers consider this more efficient simulation approach in their dose-finding studies and we have updated the R package escalation to help facilitate implementation.","Fri, 23 Feb 2024 17:37:28 UTC (689 KB)"
"59","Quantum Theory and Application of Contextual Optimal Transport","Nicola Mariella, Albert Akhriev, Francesco Tacchino, Christa Zoufal, Juan Carlos Gonzalez-Espitia, Benedek Harsanyi, Eugene Koskin, Ivano Tavernelli, Stefan Woerner, Marianna Rapsomaniki, Sergiy Zhuk, Jannis Born","Machine Learning (cs.LG)","Optimal Transport (OT) has fueled machine learning (ML) applications across many domains. In cases where paired data measurements ($\mu$, $\nu$) are coupled to a context variable $p_i$ , one may aspire to learn a global transportation map that can be parameterized through a potentially unseen con-text. Existing approaches utilize Neural OT and largely rely on Brenier's theorem. Here, we propose a first-of-its-kind quantum computing formulation for amortized optimization of contextualized transportation plans. We exploit a direct link between doubly stochastic matrices and unitary operators thus finding a natural connection between OT and quantum computation. We verify our method on synthetic and real data, by predicting variations in cell type distributions parameterized through drug dosage as context. Our comparisons to several baselines reveal that our method can capture dose-induced variations in cell distributions, even to some extent when dosages are extrapolated and sometimes with performance similar to the best classical models. In summary, this is a first step toward learning to predict contextualized transportation plans through quantum.","Thu, 22 Feb 2024 22:03:16 UTC (8,752 KB)"
"60","Causal Imputation for Counterfactual SCMs: Bridging Graphs and Latent Factor Models","Alvaro Ribot, Chandler Squires, Caroline Uhler","Machine Learning (stat.ML)","We consider the task of causal imputation, where we aim to predict the outcomes of some set of actions across a wide range of possible contexts. As a running example, we consider predicting how different drugs affect cells from different cell types. We study the index-only setting, where the actions and contexts are categorical variables with a finite number of possible values. Even in this simple setting, a practical challenge arises, since often only a small subset of possible action-context pairs have been studied. Thus, models must extrapolate to novel action-context pairs, which can be framed as a form of matrix completion with rows indexed by actions, columns indexed by contexts, and matrix entries corresponding to outcomes. We introduce a novel SCM-based model class, where the outcome is expressed as a counterfactual, actions are expressed as interventions on an instrumental variable, and contexts are defined based on the initial state of the system. We show that, under a linearity assumption, this setup induces a latent factor model over the matrix of outcomes, with an additional fixed effect term. To perform causal prediction based on this model class, we introduce simple extension to the Synthetic Interventions estimator (Agarwal et al., 2020). We evaluate several matrix completion approaches on the PRISM drug repurposing dataset, showing that our method outperforms all other considered matrix completion approaches.","Thu, 22 Feb 2024 18:37:33 UTC (6,933 KB)"
"61","Sorting of mesoporous silica derivatives by random optical fields","Mohammad Hadi Sadri, Ramin Jamali, Asif Jamal Khan, Fozia Rehman, Ali-Reza Moradi","Optics (physics.optics)","Mesoporous silica particles are promising candidates for drug delivery applications. In this paper, we first synthesize mesoporous silica MCM-41 and its derivative MCM-41GA with anchored glutaraldehyde bridges, and characterize them using a variety of techniques, including nitrogen adsorption/desorption, X-ray diffraction, NMR spectroscopy, scanning electron microscopy, and thermogravimetric analysis. Then, we employ random optical fields to sort mesoporous silica particles. Random optical fields by containing local intensity gradients throughout a wide range of field of view provide an elegant, easy-to-implement, and low-cost variant of multiple optical tweezers, which is known as speckle tweezers (ST). ST, similar to multiple optical tweezers, for manipulation tasks, such as trapping, sorting, and guiding of collection of micro and sub-micro objects in several disciplines including statistical physics, chemistry, microfluidics and material science. We show that ST can restrict, sieve, and sort MCM-41 and MCM-41GA particles. The different interaction of mesoporous silica variations with the applied ST may be attributed to the pre-applied modification and the differences in the porosity structure and distribution. Therefore, the results provide insight into the textural and chemical characteristics of mesoporous materials, contributing to a deeper understanding of their potential applications.","Thu, 22 Feb 2024 14:21:27 UTC (7,975 KB)"
"62","Algorithm-agnostic significance testing in supervised learning with multimodal data","Lucas Kook, Anton Rask Lundborg","Applications (stat.AP)","Valid statistical inference is crucial for decision-making but difficult to obtain in supervised learning with multimodal data, e.g., combinations of clinical features, genomic data, and medical images. Multimodal data often warrants the use of black-box algorithms, for instance, random forests or neural networks, which impede the use of traditional variable significance tests. We address this problem by proposing the use of COvariance Measure Tests (COMETs), which are calibrated and powerful tests that can be combined with any sufficiently predictive supervised learning algorithm. We apply COMETs to several high-dimensional, multimodal data sets to illustrate (i) variable significance testing for finding relevant mutations modulating drug-activity, (ii) modality selection for predicting survival in liver cancer patients with multiomics data, and (iii) modality selection with clinical features and medical imaging data. In all applications, COMETs yield results consistent with domain knowledge without requiring data-driven pre-processing which may invalidate type I error control. These novel applications with high-dimensional multimodal data corroborate prior results on the power and robustness of COMETs for significance testing. The comets R package and source code for reproducing all results is available at this https URL. All data sets used in this work are openly available.","Thu, 22 Feb 2024 10:03:21 UTC (535 KB)"
"63","Structure-Based Drug Design via 3D Molecular Generative Pre-training and Sampling","Yuwei Yang, Siqi Ouyang, Xueyu Hu, Meihua Dang, Mingyue Zheng, Hao Zhou, Lei Li","Biomolecules (q-bio.BM)","Structure-based drug design aims at generating high affinity ligands with prior knowledge of 3D target structures. Existing methods either use conditional generative model to learn the distribution of 3D ligands given target binding sites, or iteratively modify molecules to optimize a structure-based activity estimator. The former is highly constrained by data quantity and quality, which leaves optimization-based approaches more promising in practical scenario. However, existing optimization-based approaches choose to edit molecules in 2D space, and use molecular docking to estimate the activity using docking predicted 3D target-ligand complexes. The misalignment between the action space and the objective hinders the performance of these models, especially for those employ deep learning for acceleration. In this work, we propose MolEdit3D to combine 3D molecular generation with optimization frameworks. We develop a novel 3D graph editing model to generate molecules using fragments, and pre-train this model on abundant 3D ligands for learning target-independent properties. Then we employ a target-guided self-learning strategy to improve target-related properties using self-sampled molecules. MolEdit3D achieves state-of-the-art performance on majority of the evaluation metrics, and demonstrate strong capability of capturing both target-dependent and -independent properties.","Thu, 22 Feb 2024 06:17:11 UTC (3,074 KB)"
